WSA	FN	North	PD	Dist	Elev	Inc	lnPD	lnDist	lnInc
0.0	0	0.0	0.213	4.661	6.0	23.94	-1.5464631	1.53923	3.1755507
0.0	1	0.0		3.667	5.0	23.94		1.2993739	3.1755507
1.0	0	0.0	0.28	3.022	9.0	23.94	-1.2729657	1.1059189	3.1755507
0.0	0	0.0	7.471	1.09	6.0	23.94	2.0110288	0.08617773	3.1755507
0.0	0	0.0	0.203	7.561	9.0	23.94	-1.5945493	2.0230033	3.1755507
0.0	0	0.0	0.22	7.28	8.0	23.94	-1.5141277	1.9851309	3.1755507
0.0	0	0.0	0.131	4.787	10.0	23.94	-2.032558	1.5659039	3.1755507
0.0	0	0.0	0.166	7.842	10.0	23.94	-1.7957675	2.059494	3.1755507
0.0	0	0.0	11.493	3.873	6.0	28.802	2.4417381	1.3540294	3.3604448
1.0	0	0.0	0.419	1.475	8.0	28.802	-0.8698844	0.38865802	3.3604448
	0	0.0	0.221	7.216	8.0	28.802	-1.5095925	1.9763008	3.3604448
1.0	0	0.0	0.162	0.563	6.0	28.802	-1.820159	-0.5744756	3.3604448
0.0	0	0.0	0.701	7.597	7.0	28.802	-0.35524744	2.0277534	3.3604448
0.0	0	0.0	6.402	9.963	6.0	28.802	1.8566104	2.2988782	3.3604448
1.0	0	0.0	0.698	10.731	7.0	28.802	-0.35953617	2.3731368	3.3604448
0.0	0	0.0	2.923	1.346	10.0	32.908	1.0726105	0.2971372	3.4937158
1.0	0	0.0	0.215	1.053	10.0	26.72	-1.5371172	0.051643208	3.2854123
0.0	0	0.0	8.444	11.925	10.0	26.72	2.1334562	2.478637	3.2854123
1.0	0	0.0	0.184	2.221	13.0	26.72	-1.6928195	0.79795754	3.2854123
0.0	0	0.0	10.588	13.922	10.0	26.72	2.3597214	2.6334703	3.2854123
1.0	0	0.0	0.219	10.708	12.0	26.72	-1.5186836	2.3709912	3.2854123
0.0	0	0.0	0.155	1.04	9.0	26.72	-1.8643302	0.039220676	3.2854123
0.0	0	0.0	7.538	13.476	9.0	26.72	2.0199568	2.6009104	3.2854123
0.0	0	0.0	3.764	21.058	14.0	26.72	1.3254822	3.0472806	3.2854123
0.0	0	0.0	0.134	0.861	12.0	26.72	-2.0099154	-0.14966077	3.2854123
0.0	0	0.0	0.405	7.919	11.0	26.72	-0.9038682	2.069265	3.2854123
1.0	0	0.0	0.13	0.799	13.0	26.978	-2.040221	-0.2243943	3.2950218
0.0	0	0.0	10.707	6.521	12.0	26.978	2.3708978	1.8750278	3.2950218
0.0	0	0.0	5.702	16.67	14.0	26.978	1.7408171	2.8136108	3.2950218
0.0	0	0.0	10.7	15.196	14.0	26.978	2.3702438	2.7210321	3.2950218
0.0	0	0.0	0.231	1.502	15.0	26.978	-1.4653375	0.40679753	3.2950218
0.0	0	0.0	2.602	5.494	10.0	27.012	0.95628035	1.7036566	3.296281
0.0	0	0.0	0.194	4.835	15.0	27.012	-1.6398971	1.5758811	3.296281
0.0	0	0.0	0.443	8.919	11.0	25.504	-0.81418556	2.1881838	3.2388353
0.0	0	0.0	0.335	0.47	9.0	25.504	-1.0936247	-0.7550226	3.2388353
0.0	0	0.0	7.24	5.163	10.0	23.916	1.9796212	1.6415179	3.1745477
1.0	1	0.0		0.689	10.0	23.916		-0.37251398	3.1745477
0.0	0	0.0	1.978	8.236	11.0	23.916	0.6820862	2.1085148	3.1745477
0.0	0	0.0	0.865	4.677	12.0	23.916	-0.14502576	1.5426569	3.1745477
0.0	0	0.0	0.175	10.708	17.0	23.916	-1.7429693	2.3709912	3.1745477
0.0	0	0.0	0.063	7.157	21.0	23.916	-2.7646205	1.9680909	3.1745477
0.0	0	0.0	0.077	7.164	24.0	23.916	-2.5639498	1.9690685	3.1745477
0.0	0	0.0	0.073	7.104	25.0	23.916	-2.6172957	1.9606581	3.1745477
0.0	0	0.0	0.168	29.9	34.0	23.916	-1.7837913	3.3978584	3.1745477
1.0	0	0.0	0.243	2.09	10.0	24.84	-1.4146938	0.737164	3.2124553
0.0	0	0.0	0.461	5.156	20.0	26.254	-0.77435726	1.6401612	3.2678185
	0	0.0	0.295	4.902	16.0	26.254	-1.22078	1.5896432	3.2678185
1.0	0	0.0	0.428	1.753	25.0	26.254	-0.8486321	0.5613286	3.2678185
0.0	0	0.0	0.588	7.408	15.0	26.254	-0.53102833	2.0025604	3.2678185
0.0	0	0.0	8.14	8.168	9.0	26.254	2.0967903	2.100224	3.2678185
0.0	0	0.0	0.162	3.326	28.0	26.254	-1.820159	1.2017704	3.2678185
0.0	0	0.0	0.24	4.171	18.0	26.254	-1.4271164	1.4281558	3.2678185
1.0	0	0.0	0.264	8.107	20.0	24.73	-1.3318062	2.092728	3.208017
0.0	0	0.0	0.199	0.98	22.0	24.73	-1.6144505	-0.020202687	3.208017
0.0	1	0.0	0.599	3.25	22.0	24.73	-0.5124937	1.178655	3.208017
	0	0.0	0.288	4.445	21.0	24.73	-1.2447948	1.4917799	3.208017
0.0	0	0.0	12.826	6.31	20.0	24.73	2.5514743	1.8421357	3.208017
1.0	0	0.0	0.546	0.806	27.0	24.73	-0.6051363	-0.21567154	3.208017
0.0	1	0.0	1.601	2.956	25.0	24.73	0.4706284	1.083837	3.208017
0.0	0	0.0	0.088	7.682	24.0	24.73	-2.4304185	2.0388799	3.208017
0.0	0	0.0	0.062	1.681	28.0	24.73	-2.7806208	0.51938885	3.208017
0.0	0	0.0	0.244	1.888	27.0	25.005	-1.4105871	0.6355181	3.2190757
1.0	0	0.0	13.44	3.67	12.0	32.005	2.5982354	1.3001916	3.465892
1.0	0	0.0	7.588	3.199	14.0	32.005	2.026568	1.1628382	3.465892
1.0	0	0.0	9.72	3.671	15.0	32.005	2.2741857	1.3004642	3.465892
1.0	0	0.0	1.273	3.536	16.0	32.005	0.24137633	1.2629962	3.465892
1.0	0	0.0	0.452	0.599	28.0	32.005	-0.7940731	-0.5124937	3.465892
0.0	1	0.0	0.279	6.624	27.0	32.005	-1.2765435	1.8906994	3.465892
